subject,stimulus,response,reactionTime
pot_pat,"3,4",same,3.336287899990566
pot_pat,"4,5",diff,4.246666599996388
pot_pat,"6,5",same,5.275816999987001
pot_pat,"5,7",same,2.9311076999874786
pot_pat,"2,3",same,2.7663947000110056
pot_pat,"7,7",same,2.932711000001291
pot_pat,"1,2",same,2.4191364999860525
pot_pat,"4,4",same,2.4043416999920737
pot_pat,"5,4",same,3.183654499996919
pot_pat,"7,6",same,2.6569523999933153
pot_pat,"1,1",same,2.5093174000212457
pot_pat,"4,2",same,2.558086100005312
pot_pat,"2,7",diff,2.516625500022201
pot_pat,"1,7",diff,4.048274300002959
pot_pat,"3,5",diff,3.7042197000118904
pot_pat,"6,6",same,4.756408999994164
pot_pat,"3,1",same,3.96697929999209
pot_pat,"3,2",same,3.1338785999978427
pot_pat,"5,6",same,3.748621600010665
pot_pat,"2,2",same,2.4844442999747116
pot_pat,"3,3",same,2.6706651000131387
pot_pat,"5,5",same,2.567362600006163
pot_pat,"7,1",diff,2.6041699000052176
pot_pat,"4,3",same,3.651189099997282
pot_pat,"7,5",same,2.864479699986987
pot_pat,"7,2",diff,6.895481500017922
pot_pat,"2,4",diff,6.772675899992464
pot_pat,"6,7",same,4.4219950000115205
pot_pat,"1,3",same,2.990340799995465
pot_pat,"5,3",diff,2.7424778999993578
pot_pat,"6,4",diff,3.563858999987133
pot_pat,"4,6",diff,3.2041152000019792
pot_pat,"2,1",same,3.6261567000183277
